time	I(L1)
2.252180339377067e-001	3.421209e-002
2.253641767948497e-001	3.420209e-002
2.255103196519926e-001	3.418680e-002
2.256564625091357e-001	3.416622e-002
2.258026053662787e-001	3.414034e-002
2.259487482234217e-001	3.410917e-002
2.260948910805647e-001	3.407271e-002
2.262410339377077e-001	3.403096e-002
2.262420339377077e-001	3.403065e-002
2.263881767948507e-001	3.398366e-002
2.265343196519937e-001	3.393157e-002
2.266804625091367e-001	3.387439e-002
2.268266053662797e-001	3.381212e-002
2.269727482234227e-001	3.374476e-002
2.271188910805657e-001	3.367232e-002
2.272650339377087e-001	3.359478e-002
2.272660339377087e-001	3.359423e-002
2.274121767948517e-001	3.351167e-002
2.275583196519947e-001	3.342425e-002
2.277044625091377e-001	3.333198e-002
2.278506053662807e-001	3.323486e-002
2.279967482234237e-001	3.313288e-002
2.281428910805667e-001	3.302605e-002
2.282890339377097e-001	3.291436e-002
2.282900339377097e-001	3.291358e-002
2.284361767948527e-001	3.279712e-002
2.285823196519957e-001	3.267608e-002
2.287284625091387e-001	3.255045e-002
2.288746053662817e-001	3.242023e-002
2.290207482234248e-001	3.228542e-002
2.291668910805677e-001	3.214602e-002
2.293130339377107e-001	3.200203e-002
2.293140339377107e-001	3.200103e-002
2.303380339377118e-001	3.087032e-002
2.313620339377128e-001	2.953647e-002
2.323860339377138e-001	2.801558e-002
2.334100339377148e-001	2.632476e-002
2.344340339377159e-001	2.448188e-002
2.354580339377169e-001	2.250547e-002
2.364820339377179e-001	2.041454e-002
2.375060339377189e-001	1.822843e-002
2.385300339377200e-001	1.596662e-002
2.395540339377210e-001	1.364863e-002
2.405780339377220e-001	1.129382e-002
2.416020339377230e-001	8.921268e-003
2.426260339377241e-001	6.549649e-003
2.436500339377251e-001	4.197070e-003
2.446740339377261e-001	1.880970e-003
2.447954625091548e-001	1.609462e-003
2.449168910805835e-001	1.338797e-003
2.450383196520122e-001	1.068972e-003
2.451597482234409e-001	7.999898e-004
2.452811767948696e-001	5.318487e-004
2.454026053662983e-001	2.645492e-004
2.455240339377270e-001	-1.908686e-006
2.456980339377271e-001	-3.819998e-004
2.458441767948701e-001	-6.998112e-004
2.459903196520131e-001	-1.016065e-003
2.461364625091561e-001	-1.330762e-003
2.462826053662992e-001	-1.643901e-003
2.464287482234422e-001	-1.955483e-003
2.465748910805851e-001	-2.265508e-003
2.467210339377282e-001	-2.573975e-003
2.467220339377282e-001	-2.576079e-003
2.468681767948712e-001	-2.882823e-003
2.470143196520142e-001	-3.187718e-003
2.471604625091572e-001	-3.490766e-003
2.473066053663002e-001	-3.791966e-003
2.474527482234432e-001	-4.091318e-003
2.475988910805862e-001	-4.388823e-003
2.477450339377292e-001	-4.684480e-003
2.477460339377292e-001	-4.686496e-003
2.487700339377302e-001	-6.699546e-003
2.497940339377312e-001	-8.602672e-003
2.508180339377095e-001	-1.038452e-002
2.518420339376821e-001	-1.203500e-002
2.528660339376547e-001	-1.354532e-002
2.538900339376273e-001	-1.490801e-002
2.549140339375999e-001	-1.611695e-002
2.559380339375725e-001	-1.716738e-002
2.569620339375451e-001	-1.805588e-002
2.579860339375177e-001	-1.878038e-002
2.590100339374903e-001	-1.934012e-002
2.600340339374629e-001	-1.973562e-002
2.610580339374355e-001	-1.996864e-002
2.620820339374081e-001	-2.004214e-002
2.631060339373808e-001	-1.996020e-002
2.632521767945197e-001	-1.993608e-002
2.633983196516587e-001	-1.990895e-002
2.635444625087976e-001	-1.987882e-002
2.636906053659365e-001	-1.984569e-002
2.638367482230755e-001	-1.980956e-002
2.639828910802144e-001	-1.977042e-002
2.641290339373534e-001	-1.972828e-002
2.641300339373534e-001	-1.972799e-002
2.642761767944923e-001	-1.968289e-002
2.644223196516313e-001	-1.963492e-002
2.645684625087702e-001	-1.958409e-002
2.647146053659091e-001	-1.953039e-002
2.648607482230481e-001	-1.947382e-002
2.650068910801871e-001	-1.941439e-002
2.651530339373260e-001	-1.935209e-002
2.651540339373260e-001	-1.935165e-002
2.653001767944649e-001	-1.928654e-002
2.654463196516039e-001	-1.921870e-002
2.655924625087428e-001	-1.914816e-002
2.657386053658817e-001	-1.907490e-002
2.658847482230207e-001	-1.899893e-002
2.660308910801597e-001	-1.892024e-002
2.661770339372986e-001	-1.883884e-002
2.661780339372986e-001	-1.883828e-002
2.672020339372712e-001	-1.819578e-002
2.682260339372438e-001	-1.743285e-002
2.692500339372164e-001	-1.655882e-002
2.702740339371890e-001	-1.558362e-002
2.712980339371616e-001	-1.451765e-002
2.723220339371342e-001	-1.337172e-002
2.733460339371068e-001	-1.215693e-002
2.743700339370794e-001	-1.088456e-002
2.753940339370520e-001	-9.566033e-003
2.764180339370246e-001	-8.212778e-003
